SR NO,Authors,Title,Year,Sample Size,Child/Adult,Data Modality,ML/DL Algorithm,Comparison,Outcome
15,"Hilario Blasco-Fontecilla, Javier Sánchez-Cerezo, Irene Gómez, Georgelina Abreu-Fernández, Sandra Ortiz, Jesús F Villoria, Miguel Blanco, Ana García, Julia Ballesteros, Roldán Martínez, Gerardo Gálvez, Fernando Maestú, Álvaro López-Medrano","Measuring Accuracy (Classification Probabilities, Positive, and Negative Predictive Values) of Executive Function Electroencephalogram Metrics in Attention-Deficit/Hyperactivity Disorder Diagnosis: Protocol for and Perspectives From the SINCRONIA Study",2026,165,Child,EEG Signals,ML,"ADHD-I, ADHD-C","This study enrolled 165 children aged 7–12 years and aims to develop an EEG functional-connectivity + machine-learning diagnostic algorithm for ADHD, with results expected to determine whether EEG-based diagnosis can match or outperform clinical assessment/CPT-3"
16,"Manjusha Deshmukh, Mahi Khemchandani, Paramjit Mahesh Thakur",Contributions of brain regions to machine learning-based classifications of attention deficit hyperactivity disorder (ADHD) utilizing EEG signals,2026,121,Child,EEG Signals,"Naïve Bayes, Random Forest, Decision Tree, K-Nearest Neighbors, Support Vector Machine, AdaBoost, Linear Discriminant Analysis","ADHD, Control",Accuracy 84%
17,"Tiosso Batistetti V, Sanchez FG, Varaona A, Lara-Abelenda F, Pinto da Costa M, Chart-Pascual JP, Rodriguez-Quiroga A, Quintero J, Alvarez-Mon MA.",Evaluating Public Sentiment on Attention-Deficit/Hyperactivity Disorder and Autism Spectrum Disorder Compared With Other Mental Health Disorders From Posts on X (Formerly Known as Twitter): Longitudinal Analysis,2026,852990,Both,Textual data,Transformer-Based Language Model ,"ADHD, Control","F1-scores 78% for English, F1-scores 79% for Spanish"
18,"Rodriguez VJ, Finley JA, Liu Q, Alfonso D, Basurto KS, Oh A, Nili A, Paltell KC, Hoots JK, Ovsiew GP, Resch ZJ, Ulrich DM, Soble JR.",Empirically derived symptom profiles in adults with attention-Deficit/hyperactivity disorder: An unsupervised machine learning approach,2026,382,Adult,"Clinical data, Questionnaires ",Gaussian Mixture Model ,"ADHD, Control","The algorithm identified two distinct symptom profiles in adults with ADHD (""ADHD-Plus""and ""ADHD-Predominate"") that are primarily differentiated by the severity of comorbid internalizing psychopathology (depression and anxiety) and the patient's sex, rather than by their neurocognitive test performance."
19,"Rachel Bamberger, Leon D Lotter, Nicolás Nieto, Tanja Poulain, Antje Körner, Wieland Kiess, Michael Fuchs, Georg von Polier",Voices of change: associations between vocal markers and symptoms of ADHD - Findings from the LIFE child study,2026,1460,Child,"Demographic data, Voice Recording, Questionnaires ",Ridge Regression,"ADHD, Control","MAE 1.902, R2 0.124, r 0.361"
20,"Hakan Kayış, Çınar Gedizlioğlu, Elif Mumcu, Ayşegül Tuğba Hıra Selen, Akın Tahıllıoğlu, Nurhak Doğan",Attention deficit hyperactivity disorder assessment through objective measures: POV glasses and machine learning approach,2026,66,Child,"Activity Data, Video data","Random Forests, Gradient Boosting, Extremely Randomized Trees, AdaBoost, Support Vector Machines, k-Nearest Neighbors","ADHD-I, ADHD-H ","Accuracy 81.82%, ROC–AUC of 0.85."
21,"Yufen Li, Liping Lin, Huaqiong Qiu, Weifeng Hou, Xiang Gao, Yan Dai, Boyan Xu, Yingqian Chen,",Investigation of quantitative synthetic MRI in the evaluation of attention-deficit/hyperactivity disorder,2026,100,Child,"MRI, Questionnaires","Support Vector Machine, Random Forest, Linear Regression","ADHD, Control",Accuracy 78%
22,"Seung Yun Choi, Jinwoo Lee, Junghoon Park, Eunji Lee, Bo‐Gyeom Kim, Gakyung Kim, Yoonjung","Individual differences in effects of stressful life events on childhood ADHD: genetic, neural, and familial contributions",2026,6303,Child,"Demographic data, Genetic data, Neuroimaging data. ",Random Forest,"ADHD, Control","Early-life stress significantly increases childhood ADHD symptoms with individual vulnerability dynamically shaped by combinations of parental psychopathology, polygenic risk scores, and brain structural connectivity."
23,"Ziqing Zhu, Yufei Liu, Qianrong Liu, Xinxin Yue, Meirong Pan, Yuan Gao, Ningning Liu, Haimei Li, Feifei Si, Mengjie Zhao, Min Dong, Yufeng Wang, Qiujin Qian, Wenjian Bi, Lu Liu",Multimodal-based deep learning detected disrupted precuneus connectivity and its related genetic profiles for predicting adults with ADHD,2026,501,Adult,"f-MRI, Genomics data",Graph Convolutional Network,"ADHD, Control",Accuracy 73.55%
24,"Volker Scheer, David Valero, Encarna Valero, Katja Weiss, Thomas Rosemann, Beat Knechtle",Examining attention- deficit/ hyperactivity disorder in endurance and ultra-endurance runners,2026,601,Adult,"Biometric data, Questionaires","Multivariate Logistic Regressor, ML, Adaboost","ADHD, Control","9.7% of endurance and ultra-endurance runners screened positive for ADHD traits, with the prevalence being highest among half-marathoners (14.8%) and younger runners (under age 40). Researchers observed no significant differences in ADHD prevalence based on sex (female 10.8% vs. male 9.0%) or performance level (elite vs. non-elite)."
25,"Shaymaa E Sorour, Lamia Hassan, Osman Elwasila, Tsunenori Mine, Mohamed Ali Nagy Elmaadaway",Hybrid Vi+ECNN framework for advanced ADHD diagnostic accuracy in medical imaging,2026,71,Child,MRI,"Vision Transformer, Convolutional Neural Network","ADHD, Control","Accuracy 99.4%, Precision 99.3%, Recall of 99.5%, F1-score 99%"
26,"Xin Wen, Shijie Guo, Li Dong, Wenbo Ning, Yanrong Hao, Songhua Liu, Haojie Lian, Xiaobo Liu, Rui Cao",Comorbidity-aware transfer learning for neuro-developmental disorder diagnosis,2026,2403,Child,fMRI,Transfer Learning ,"ADHD, Control","Accuracy 77.34% for ASD, Accuracy 73.28% for ADHD"
27,"Duo Liu, Ziqian Wei, Urs Maurer, Kevin Kien Hoa Chung, Jesus Alfonso D Datu, Liory Fern-Pollak, Taeko Wydell, Winnie Wan-Yee Tso, Fenghua Sun, Lirong Luo, Li-Chih Wang, Yen Na Yum, Guandong Xu, Su Li","Profiling Chinese children with symptoms of SpLD, ADHD, or ASD: a transdiagnostic and biopsychosocial study",2026,267,Child,"Cognitive data, Psychological data",K-means Clustering,"ADHD, Control","Children in the severe ""Linguistic Difficulties""and ""Psychosocial Difficulties""clusters experience significantly worse academic and mental health outcomes"
28,"Cynthia Kerson, Maha Yazbeck, Behnoosh Shahsavaripoor, Rebekah Walker, Phoebe Manalang-Monnier, Theodore Allen, L Eugene Arnold, Joel Lubar",EEG Connectivity as Predictor of ICAN ADHD Children's Improvement After Completion of Theta Beta Ratio Neurofeedback: Machine Learning Analyses,2026,83,Child,EEG Signals,"Random Forest, ML","ADHD-I, ADHD-C",Ventral/Dorsal Attention-Network connectivity and Delta/Hibeta frequency features are the strongest predictors
29,"Hakan Kayış, Çınar Gedizlioğlu",Leveraging point-of-view camera and MediaPipe for objective hyperactivity assessment in preschool ADHD,2026,51,Child,"Activity data, Video data","Support Vector Machine, k-Nearest Neighbors, AdaBoost, Extra Trees, Random Forest","ADHD-I, ADHD-H ","Accuracy 84.31%, Sensitivity 80.0%, Specificity 87.10%, AUC 83%"
30,"Omar Hamed, Farzaneh Etminani, Peter Jacobsson, Thomas Davidsson",Early detection of adults ADHD using electronic health records: A machine learning study,2026,7420,Adult,EHR Data,Transformer-based ML,"ADHD, Control","AUC 79%, F1-score 79%, Sensitivity 80%, Specificity 77%"
31,"Dandan Li, Zhenyu Zhao, Jiangyang Hao, Xingwang Dong, Yating Zhang, Jie Xiang, Bin Wang",Attention-Enhanced Temporal and Spatial Feature Extraction Network for ADHD Diagnosis based on fMRI,2026,747,Child,fMRI,"Temporal Cross-scale Convolutional Attention Module, Spatial Collaborative Attention-Guided Graph Representation Module, Spatial-Temporal KAN Network","ADHD, Control",Accuracy 76.06% ± 0.65%
32,"Wenyang Yang, Jingrui Yuan, Lin Ding, Steven Kwok Keung Chow",A neurofeedback-guided EEG and BCI framework for personalized attention rehabilitation in ADHD,2026,50,Both,EEG Signals ,"Support Vector Regression, Extreme Gradient Boosting, Multi-Layer Perceptron, Neural Network","ADHD, Control","Accuracy  98.26%, RMSE 85.60%, MAE 64.17%"
33,"Ebru Aker, Şerife Gengeç Benli, Zeynep Ak",Machine Learning-driven ADHD Classification: Exploring Medication Effects with VMD Sub-band Analysis,2026,123,Child,rs-fMRI ,"Support Vector Machines, Linear Discriminant Analysis, Artificial Neural Networks","ADHD-C ( medicated ), ADHD-C ( non-medicated )","Accuracy 96.34%  for non-medicated ADHD from controls, Accuracy 88.41% for medicated ADHD from controls. Accuracy 79.63%  between medicated and non-medicated ADHD, Overall Accuracy 69.51%"
34,"Traore, I., Megdiche, I., Marquet-Doléac, J., Chaari, L",A Hybrid Deep Learning and Ontology-Based Framework for Contextual Hyperactivity Detection in Children with ADHD,2026,2,Child,Activity data,Transformer,"ADHD, Control",F1-scores 87%
35,"Kadgaonkar, P. et al.",ISSN (Identification of Sex Specific Neurobehaviour): A Multimodal Machine Learning Model for Attention Deficit Hyperactivity Disorder (ADHD),2026,1214,Child,"Clinical data, Demographic data, fMRI","Support Vector Regression, Extreme Gradient Boosting, Random Forest","ADHD, Control","Accuracy 84% for ADHD, Accuracy 70% for Gender"
36,"Bousmaha, R., Meribai, K., Bouchemal, N., Bouchemal, N., &Ivanova, G. ",Robust Multi-Site ADHD Classification via GraphSAGE-Based Functional Connectivity Modeling from rs-fMRI,2026,973,Child,rs-fMRI,Graph Convolutional Network,"ADHD, Control",Accuracy 89.9%
37,"Celdrán, F.J., Reolid, R.S., González-García, J.J., Romero-Ayuso, D., Santos, O.C., González, P. ",Multimodal Temporal Deep Learning for ADHD Classification in Ecologically Valid Virtual Reality: An Exploratory Study,2026,12,Adult,"Behavioral data, Physiological data, Biological Data","Logistic Regression, Support Vector Machines, Random Forest, Gradient Boosting, Convolutional Neural Network ","ADHD, Control",Accuracy 79%
38,"Pérez-Rosero, D.A., Rios, N.B., Alvarez-Meza, A.M., Bonomini, M.P. ",Explainable AI-Based Connectivity Learning for ADHD Detection from EEG Signals,2026,121,Child,EEG Signals,XGBoost,"ADHD, Control","Accuracy 80.44%, Recall 80.37%, Precision 81.35%"
39,"V. Agrawal, A. Dalal and M. Jain",Explainable GCN-based ADHD Detection from Questionnaire Data via Patient Similarity Graphs,2026,9277,Child,"Survey, Questionnaires","K-Nearest Neighbors,  Graph Convolutional Network,  Logistic Regression, Gradient Boosting, Random Forests, Support Vector Machine, Decision Trees, MLP","ADHD, Control","F1 81.34%, AUC 95.87%"
40,"Vuyyuru PR, Korra SB and Nenavath SN",Digital pathology of the living brain: a voxel-level spatio-temporal network for explainable ADHD diagnosis from raw rs-fMRI across multiple scanner sites,2026,760,Child,rs-fMRI,Convolutional Neural Network,"ADHD, Control","Accuracy 98.7 ± 0.4%, Sensitivity 98.2%, Specificity 99.1%, AUC 99.4%"
41,"Yang Li, Zilong Ma, Walter Falchi, Liyuan Huang, Zehuan Chen, Hai Wang",Prediction of treatment response and adverse events in pediatric ADHD treated with acupuncture combined with conventional treatment,2026,809,Child,"Demographic data, Behavioral data, Clinical data",XGBoost,"ADHD, Control",AUROC 83%
42,"Castro-Verazas, E.A., Lima-Portillo, S.B., Hernández-Farías, D.I., Reyes-García, C.A.",Machine Learning Algorithms for Identifying Attention-Deficit/Hyperactivity Disorder Processing Electroencephalographic Signals,2026,29,Adult,EEG Signals,"Random Forest, Support Vector Machine, XGBoost","ADHD, Control",Supervised ML models can identify ADHD-related patterns from EEG signals
43,"J. Vara, D. Dioses, and L. Wong, ",A Mobile Application for the Early Detection of ADHD Using Random Forest: The Case Study of Primary School Students in Peru,2026,116,Child,"Demographic data, Behavioral data, Questionnaires ",Random Forest,"ADHD, Control","Specificity 100%, Accuracy 93.3%, Sensitivity 50%"
44,"Prashant Wakhare, Govinda B. Sambare, Pawar Atul Gulabrao, Ganesh Vitthal Kadam, Rajesh Lomte, Shailesh B. Galande",An Explainable Deep Learning Framework for Early Identification of Learning Challenges in Students with Attention Deficit Hyperactivity Disorder,2026,1248,Child,"Behavioral data,  Cognitive data",Convolutional Neural Network ,"ADHD, Control","Accuracy 91.45%, Precision 90.82%, Recall 90.17%, F1-score 90.48%, AUC-ROC 94%"
45,"Jose Javier Garcia-Medina, Carmen Miquel-Lopez, Camila Yane-Gauffin, Antonio Eusebio Lopez-Hernandez, Maravillas De-Paco-Matallana, Javier Martinez-Soria, Diego Garcia-Ayuso, Monica Del-Rio-Vellosillo,",Machine-Learning Analysis of Retinal OCT Measurements for Differentiating ADHD From Controls,2026,100,Both,Retinal Image Data,Light Gradient Boosting Machine ,"ADHD, Control","AUROC 88.08%, Accuracy 95%,  Sensitivity 86-90%, Specificities 70-72%"
46,"Peng Wang, Jiayi Duan, Yuqing Xing, Ruihang Xu, Anyuan Xu, Haodong Chen, Shengchao Hu, Tao Wang, Shuang Liu,",Explainable anomaly detection and localization for ADHD in MRI using topological features,2026,973,Child,MRI,Autoencoder,"ADHD, Control",Accuracy 74.53%
47,"Goh, P.K., Rogers, M.A., Wong, A.A.W.W.A. et al. ",A Machine Learning Approach to Classifying School Absenteeism Patterns in Youth with ADHD,2026,194,Child,"Demographic data, Behavioral data, Questionnaires ",Random Forest,"ADHD, Control",AUC 75–79%
48,"Pastrana-Cortés, J. D., Gomez-Rivera, A., Álvarez-Meza, A. M., Gil-Gonzalez, J., &Cárdenas-Peña, D.",Temporal Attention and Convolutional Tokenization for Interpretable EEG-Based ADHD Identification in Children,2026,121,Child,EEG Signals,Transformer,"ADHD, Control","Accuracy 87.5%, Recall 96.0%, Precision 82.8%"
49,"Qin, H., Zhang, L., Wang, J., Yan, W., Wang, X., Qu, X., Peng, N., Wang, L.",Interpretable machine learning approaches for children’s ADHD detection using clinical assessment data: an online web application deployment,2025,973,Child,"rs-fMRI, Biological data, Demographic data","Decision Tree, K Nearest, Random Forest, Support Vector Machine","ADHD-I, ADHD-C","AUC 99% for RF, AUC 96%, Accuracy 83% for SVM"
50,"Aitken, A., Lazerwitz, M.C., Eash, A., Hattangadi, N., Mukherjee, P., Marco, E.J., Shapiro, K.A.",Predictive modeling of adaptive behavior trajectories in autism: insights from a clinical cohort study,2025,1225,Child,Clinical data,"Random Forest, Support Vector Machine","ADHD, Control",Accuracy 77%
51,"Isaev, D.Y., Major, S., Carpenter, K.L.H., Grapel, J., Chang, Z., Di Martino, M., Carlson, D., Dawson, G., Sapiro, G.",Use of computer vision analysis for labeling inattention periods in EEG recordings with visual stimuli,2025,23,Child,Video data,MLP,"ADHD, Control","AUC 98.9%, Cohen’s κ 88.8%"
52,"Neufang, S., Li, F., Akhrif, A., Beyan, O.D.","Toward a fair, gender-debiased classifier for the diagnosis of attention deficit/hyperactivity disorder- a Machine-Learning based classification study",2025,400,Child,Textual data,XGBoost,"ADHD, Control",Accuracy 88.3%
